"date","gender","age","social_metric","time_since_signup","demographic","group","hours_watched"
"19/07","F",33,6,5,1,"A",4.76
"19/07","F",21,8,21.9,1,"A",6.78
"19/07","F",38,4,8.2,3,"A",4.12
"19/07","F",54,4,8.6,3,"B",2.9
"19/07","M",44,6,20.8,4,"B",4.635
"19/07","M",38,2,23.4,4,"A",4
"19/07","M",27,8,23.5,2,"A",4.36
"19/07","M",47,5,1.7,4,"B",5.675
"19/07","M",42,1,11.1,4,"A",3.36
"19/07","F",49,1,22.3,3,"A",1.47
"19/07","F",42,1,3.1,3,"A",2.25
"19/07","M",36,0,20.6,4,"B",4.925
"19/07","M",36,2,12.5,4,"B",5.985
"19/07","F",32,9,5.4,1,"A",6.24
"19/07","F",35,1,10.3,1,"A",4.1
"19/07","F",48,1,18.3,3,"A",4.02
"19/07","M",52,0,14.3,4,"A",3.4
"19/07","F",23,0,17.3,1,"A",4.83
"19/07","F",46,9,6.8,3,"A",4.09
"19/07","M",54,8,10.6,4,"B",5.235
"19/07","F",54,2,18,3,"A",0.5
"19/07","M",31,5,22.4,2,"A",4.94
"19/07","M",33,3,1.7,2,"A",4.04
"19/07","F",53,3,9.4,3,"B",1.59
"19/07","M",22,1,3.1,2,"A",4.21
"19/07","F",53,4,23.5,3,"A",2.78
"19/07","F",31,7,3.9,1,"B",5.17
"20/07","M",38,3,2.8,4,"A",5.08
"20/07","M",38,7,18.9,4,"B",5.635
"20/07","M",44,8,21.7,4,"A",3.01
"20/07","M",33,9,14.4,2,"A",5.59
"20/07","M",24,8,7.2,2,"B",6.92
"20/07","M",31,3,5.4,2,"A",3.38
"20/07","F",41,0,15.3,3,"A",3.32
"20/07","M",20,9,6.7,2,"A",7.45
"20/07","M",50,6,11.3,4,"B",4.355
"20/07","M",26,6,22.1,2,"A",6.09
"20/07","F",38,8,10.7,3,"A",6.35
"20/07","M",23,1,4.2,2,"A",4.97
"20/07","F",30,7,11.2,1,"A",5.31
"20/07","M",41,9,20.8,4,"B",5.995
"20/07","F",27,0,19.7,1,"A",4.53
"20/07","M",41,9,22.7,4,"B",5.305
"20/07","M",36,4,12.3,4,"B",4.255
"20/07","M",53,8,2.5,4,"A",2.5
"20/07","M",50,10,21.9,4,"A",3.75
"20/07","F",32,3,23.8,1,"A",3.95
"20/07","M",30,8,13.1,2,"A",5.93
"20/07","M",49,1,9.9,4,"B",2.795
"20/07","F",35,0,13.7,1,"A",3.23
"20/07","M",30,5,22.4,2,"B",4.59
"20/07","M",22,0,11.5,2,"A",5.93
"20/07","M",20,1,10.7,2,"A",4.62
"20/07","F",44,7,8.1,3,"B",3.95
"20/07","F",43,0,1.5,3,"A",3.28
"20/07","M",51,4,14,4,"B",3.085
"20/07","M",29,8,4.1,2,"A",6.87
"20/07","F",53,8,20.2,3,"B",4.53
"20/07","M",25,4,6.8,2,"B",4.96
"20/07","M",47,6,19,4,"A",3.97
"21/07","F",26,3,17.5,1,"A",5.14
"21/07","M",19,5,20.2,2,"A",6.57
"21/07","M",50,3,11.9,4,"A",2.79
"21/07","F",43,6,23,3,"A",4.83
"21/07","M",53,9,1.8,4,"B",5.055
"21/07","M",43,6,15.3,4,"B",6.435
"21/07","M",49,1,20.3,4,"B",3.405
"21/07","F",31,1,13.5,1,"A",4.45
"21/07","M",33,3,14,2,"B",6.33
"21/07","M",39,10,22.6,4,"A",5
"21/07","F",22,7,7.3,1,"A",5.72
"21/07","M",25,1,11.4,2,"B",6.76
"21/07","M",40,6,19.9,4,"A",5.13
"21/07","M",46,5,3.8,4,"B",4.125
"21/07","M",50,3,22.4,4,"A",1.47
"21/07","M",32,3,4.5,2,"A",4.41
"21/07","M",48,5,7,4,"B",5.065
"21/07","M",20,10,6.2,2,"A",5.39
"21/07","M",41,4,2.7,4,"A",1.65
"21/07","M",31,8,1.8,2,"A",5.35
"21/07","F",40,10,0.9,3,"A",4.02
"21/07","M",52,3,22.1,4,"B",3.255
"21/07","F",25,5,17.6,1,"A",5.02
"21/07","M",32,6,6.6,2,"B",4.28
"21/07","F",43,3,8.4,3,"A",3.53
"21/07","F",46,9,20.8,3,"A",3.53
"21/07","F",37,9,18.5,3,"A",4.54
"21/07","M",49,10,23.8,4,"A",3.34
"21/07","F",38,1,23.5,3,"A",3.45
"21/07","F",37,6,8.2,3,"A",3.9
"21/07","M",34,7,21.4,2,"A",6.59
"21/07","M",31,1,15.5,2,"A",4.97
"22/07","F",23,9,7.1,1,"A",5.95
"22/07","M",29,2,6.8,2,"A",6.32
"22/07","F",28,1,1.3,1,"A",3.67
"22/07","M",46,10,24,4,"A",4.73
"22/07","M",47,6,23.1,4,"A",2.65
"22/07","M",23,0,3.4,2,"A",4.26
"22/07","M",37,8,23,4,"B",5.635
"22/07","M",40,10,21.1,4,"A",4.08
"22/07","F",37,9,5.6,3,"A",4.28
"22/07","F",32,4,19.4,1,"A",6.08
"22/07","M",34,9,22.3,2,"B",7.22
"22/07","F",18,3,19.8,1,"B",5.21
"22/07","M",52,10,20.5,4,"B",4.035
"22/07","F",21,6,20.3,1,"B",7.09
"22/07","M",37,6,18.9,4,"B",3.055
"22/07","M",48,8,17.5,4,"A",3.34
"22/07","M",40,2,6.9,4,"A",4.78
"22/07","M",34,6,17.5,2,"B",5.71
"22/07","F",39,2,13.1,3,"A",3.61
"22/07","M",47,0,4.5,4,"B",2.515
"22/07","M",24,8,8.5,2,"A",6.3
"22/07","M",54,6,16.2,4,"A",4.48
"22/07","F",36,1,19.7,3,"A",1.85
"22/07","M",52,7,8.5,4,"A",2.91
"22/07","F",51,7,10,3,"A",5.35
"22/07","F",46,7,23.9,3,"A",4.34
"22/07","F",43,1,20.8,3,"A",3.3
"22/07","M",42,2,18.4,4,"B",2.965
"22/07","M",21,2,12.2,2,"A",4.68
"22/07","F",34,0,19.2,1,"A",4.84
"22/07","F",38,6,3,3,"B",5.11
"22/07","M",53,4,0.3,4,"A",2.47
"23/07","M",44,3,20.6,4,"B",3.155
"23/07","M",45,2,2.2,4,"A",3.33
"23/07","M",35,2,15.1,2,"B",3.65
"23/07","M",22,2,3.9,2,"A",7.67
"23/07","F",47,3,6.2,3,"A",4.94
"23/07","M",34,2,6.7,2,"A",4.96
"23/07","F",34,9,5.2,1,"A",5.09
"23/07","F",19,3,6.8,1,"A",4.78
"23/07","F",23,1,4.1,1,"A",6.69
"23/07","M",34,4,17.8,2,"A",3.19
"23/07","M",46,5,11.8,4,"A",4.61
"23/07","M",18,8,9.7,2,"A",6.03
"23/07","F",40,3,21.2,3,"A",4.8
"23/07","M",52,8,9.2,4,"A",4.83
"23/07","M",44,10,18.3,4,"B",4.765
"23/07","M",28,2,21.2,2,"A",4.87
"23/07","F",49,4,8,3,"A",0.5
"23/07","M",30,4,0.4,2,"A",4.58
"23/07","F",39,10,18.7,3,"A",5.55
"23/07","F",34,6,11.3,1,"A",6.87
"23/07","F",20,8,1.2,1,"A",4.55
"23/07","M",45,9,19.3,4,"A",4.37
"23/07","F",38,1,18,3,"B",4.43
"23/07","M",46,5,20.6,4,"B",5.485
"23/07","M",20,7,22,2,"A",5.35
"23/07","M",44,0,10,4,"A",3.32
"23/07","M",29,8,20.4,2,"A",4.24
"23/07","M",28,6,8,2,"A",5.04
"23/07","F",49,5,3.5,3,"A",2.23
"23/07","M",21,5,10.3,2,"A",5.19
"23/07","M",20,0,7,2,"A",4.3
"23/07","F",31,10,8,1,"A",5.11
"24/07","F",38,10,9.3,3,"A",4.11
"24/07","M",41,6,8.1,4,"B",6.285
"24/07","M",28,4,2.6,2,"B",4.94
"24/07","F",26,3,2.1,1,"B",5.5
"24/07","M",32,1,21.7,2,"A",3.91
"24/07","F",35,3,10.1,1,"A",5.02
"24/07","M",49,9,0.7,4,"B",5.515
"24/07","F",22,3,14.2,1,"A",4.74
"24/07","M",43,4,10.6,4,"A",2.78
"24/07","F",36,6,6.9,3,"A",4.95
"24/07","F",51,6,10.3,3,"A",3.84
"24/07","F",38,6,3.2,3,"A",4.03
"24/07","M",23,2,11.3,2,"A",5.63
"24/07","M",34,8,1.2,2,"B",5.73
"24/07","M",25,0,11.6,2,"A",3.35
"24/07","F",34,6,8.4,1,"A",5.29
"24/07","M",26,4,21.1,2,"A",3.78
"24/07","M",54,4,23,4,"A",4.15
"24/07","M",35,8,7.9,2,"B",5.83
"24/07","M",47,2,6.9,4,"A",4.9
"24/07","M",24,5,23.4,2,"A",5.1
"24/07","M",50,7,6.3,4,"A",1.94
"24/07","M",26,5,19.4,2,"B",4.34
"24/07","M",25,5,23.9,2,"A",6.42
"24/07","F",24,6,20.6,1,"A",4.69
"24/07","M",39,6,0.6,4,"A",3.34
"24/07","F",45,7,0.9,3,"B",4.76
"24/07","F",50,9,13.4,3,"A",3.44
"24/07","M",44,4,5.3,4,"B",3.105
"24/07","M",36,10,17.9,4,"A",2.41
"24/07","M",48,4,13.2,4,"B",3.385
"24/07","M",19,2,7.6,2,"A",5.5
"24/07","M",55,2,4.8,4,"A",2.18
"25/07","M",41,9,21.2,4,"A",4.32
"25/07","M",34,1,3.9,2,"A",3.72
"25/07","F",19,2,19,1,"A",5.38
"25/07","M",46,1,22.1,4,"B",4.405
"25/07","M",26,6,12.5,2,"A",6.51
"25/07","F",55,2,0.5,3,"A",0.95
"25/07","M",52,6,2.9,4,"B",3.885
"25/07","M",44,2,5.3,4,"A",3.27
"25/07","M",45,4,15,4,"B",5.145
"25/07","F",35,3,17.2,1,"A",6.53
"25/07","M",50,9,9,4,"B",4.145
"25/07","F",24,1,10.3,1,"A",5.22
"25/07","F",41,3,4.5,3,"A",4.92
"25/07","M",29,2,4.1,2,"A",6.12
"25/07","M",35,7,13.4,2,"B",6.56
"25/07","M",20,9,22.8,2,"A",3.74
"25/07","M",25,5,17.3,2,"A",3.98
"25/07","F",20,6,14.7,1,"A",5.2
"25/07","M",53,2,11.2,4,"A",4.62
"25/07","M",31,6,0.6,2,"B",5.67
"25/07","F",37,9,19.2,3,"A",4.86
"25/07","F",41,5,7.9,3,"A",4.16
"25/07","M",27,0,0.1,2,"A",5.12
"25/07","F",37,2,22.6,3,"A",5.34
"25/07","F",48,3,18.5,3,"A",4.29
"25/07","M",31,3,23.4,2,"A",2.21
"25/07","F",50,1,6.8,3,"A",0.8
"25/07","F",19,4,18,1,"A",5.26
"25/07","F",54,6,14.7,3,"A",3.78
"25/07","M",46,5,12.3,4,"A",2.07
"25/07","M",28,6,21,2,"A",5.77
"25/07","F",43,5,0.3,3,"A",2.86
"26/07","M",31,1,13.3,2,"A",4.64
"26/07","M",53,10,22.2,4,"B",3.975
"26/07","M",31,7,12.9,2,"A",3.8
"26/07","M",19,4,5.5,2,"A",7.09
"26/07","M",31,2,0.1,2,"A",5.19
"26/07","M",32,2,16.2,2,"A",7.27
"26/07","F",31,7,2.7,1,"A",5.69
"26/07","F",54,1,2.8,3,"A",2.2
"26/07","M",32,6,18.6,2,"B",5.33
"26/07","M",38,2,17.4,4,"B",3.895
"26/07","M",52,8,1.9,4,"A",2.13
"26/07","M",52,10,0.1,4,"A",1.44
"26/07","M",27,2,10.9,2,"A",4.72
"26/07","M",45,6,23.7,4,"B",5.835
"26/07","F",31,5,14.9,1,"A",5.16
"26/07","M",39,8,5.7,4,"B",4.655
"26/07","M",45,3,8.7,4,"A",4.33
"26/07","M",48,6,17.8,4,"A",3.77
"26/07","M",50,1,4.7,4,"B",3.935
"26/07","F",19,6,0.6,1,"A",6.06
"26/07","F",26,6,1.7,1,"A",5.01
"26/07","F",32,4,14,1,"A",5.65
"26/07","M",29,10,14.5,2,"B",6.37
"26/07","M",45,7,23.6,4,"A",2.38
"26/07","M",44,3,0.7,4,"A",4.25
"26/07","F",52,9,20.7,3,"B",6.01
"26/07","M",49,4,4.3,4,"A",3.59
"26/07","M",47,8,15.8,4,"A",5.86
"26/07","F",33,8,10.9,1,"A",5.43
"26/07","F",39,4,7.6,3,"A",4.66
"26/07","F",21,5,4,1,"A",5.12
"26/07","F",50,5,10.3,3,"A",1.24
"27/07","F",53,10,10.4,3,"A",2.37
"27/07","F",37,1,24,3,"A",3.78
"27/07","F",52,8,19.3,3,"A",2.31
"27/07","M",23,9,8.1,2,"B",4.73
"27/07","F",27,10,12.2,1,"B",6.12
"27/07","M",36,10,7,4,"B",4.795
"27/07","F",36,6,13.3,3,"A",6.95
"27/07","M",34,1,6.4,2,"A",4.29
"27/07","F",19,1,22.7,1,"B",6.15
"27/07","F",42,5,3,3,"A",4.47
"27/07","F",44,7,10.9,3,"B",4.59
"27/07","F",31,2,15.7,1,"A",5.13
"27/07","M",53,2,14.7,4,"B",3.705
"27/07","F",45,1,13.7,3,"B",4.63
"27/07","M",20,2,0.6,2,"A",6.09
"27/07","M",54,9,21.2,4,"A",4.37
"27/07","F",26,4,12.3,1,"B",5.69
"27/07","M",19,9,16.1,2,"A",4.59
"27/07","M",28,8,5.4,2,"A",2.61
"27/07","M",45,10,2.5,4,"A",3.79
"27/07","F",27,6,2.7,1,"A",3.61
"27/07","M",27,7,9,2,"B",5.55
"27/07","M",19,8,20.2,2,"B",6.16
"27/07","M",28,0,12.9,2,"A",4.76
"27/07","F",44,8,11.8,3,"B",6.31
"27/07","M",19,7,23.7,2,"A",7.35
"27/07","F",20,4,19.9,1,"A",6.22
"27/07","F",33,2,3.5,1,"B",5.23
"27/07","F",36,0,4.4,3,"A",4.36
"27/07","M",41,4,9.8,4,"A",3.91
"27/07","F",45,8,0.2,3,"A",2.44
"27/07","M",21,6,18.9,2,"A",7.4
"28/07","M",34,10,13.6,2,"A",6.26
"28/07","F",54,5,6.4,3,"A",4.1
"28/07","F",48,5,19.9,3,"A",2.97
"28/07","M",26,8,7.8,2,"B",6.61
"28/07","M",36,1,23.9,4,"A",4.53
"28/07","M",18,3,5.7,2,"A",3.73
"28/07","F",28,4,19.5,1,"B",5.35
"28/07","M",35,2,0.9,2,"A",4.59
"28/07","F",45,2,20.5,3,"A",3.84
"28/07","M",55,6,0,4,"B",2.755
"28/07","F",30,5,6.5,1,"A",6.72
"28/07","F",53,8,11.1,3,"A",5.18
"28/07","M",54,8,15.3,4,"A",3.92
"28/07","F",51,3,2.3,3,"B",2.89
"28/07","M",36,8,7.6,4,"A",3.8
"28/07","M",47,3,13.8,4,"A",2.07
"28/07","F",48,6,15.9,3,"A",2.92
"28/07","F",43,2,19,3,"A",1.76
"28/07","M",40,2,2.8,4,"A",4.34
"28/07","M",30,2,5.5,2,"A",3.08
"28/07","M",18,8,8.4,2,"A",4.6
"28/07","F",20,4,11,1,"A",5.98
"28/07","F",21,9,1.7,1,"A",6.16
"28/07","M",18,1,5.8,2,"B",6.88
"28/07","M",30,10,12.4,2,"A",5.84
"28/07","F",22,8,12,1,"A",5.53
"28/07","F",40,3,16.2,3,"A",4.38
"28/07","F",19,0,4.8,1,"A",3.43
"28/07","M",18,7,12.6,2,"A",5.8
"28/07","F",24,4,5.9,1,"A",5.28
"28/07","M",49,9,6.3,4,"A",4.57
"28/07","M",46,1,19.2,4,"B",3.665
"28/07","M",28,5,9.7,2,"A",5.06
"29/07","M",25,9,6.4,2,"A",4.2
"29/07","M",26,7,1.2,2,"B",6.48
"29/07","M",20,3,19.5,2,"B",3.94
"29/07","F",20,6,9.9,1,"A",5.7
"29/07","F",23,9,14.1,1,"A",6.05
"29/07","M",21,4,0.9,2,"A",6.68
"29/07","F",20,3,6.9,1,"A",6.13
"29/07","M",37,6,11.9,4,"B",5.945
"29/07","M",47,4,7,4,"B",2.125
"29/07","F",44,8,23,3,"B",6.24
"29/07","M",20,2,15.1,2,"A",4.66
"29/07","F",19,7,18.2,1,"A",8.3
"29/07","F",34,0,5.4,1,"A",3.4
"29/07","F",24,3,22.3,1,"A",3.81
"29/07","M",45,10,21.1,4,"A",4.95
"29/07","F",44,0,21.9,3,"A",3.31
"29/07","F",51,1,9.4,3,"A",4.07
"29/07","M",30,2,8.9,2,"B",4.71
"29/07","M",54,10,7,4,"A",2.48
"29/07","F",54,5,15.4,3,"A",3.69
"29/07","F",19,6,9.4,1,"A",5.3
"29/07","F",51,0,0.8,3,"A",3.79
"29/07","F",48,3,14,3,"A",3.92
"29/07","M",45,10,19.5,4,"B",4.465
"29/07","M",29,8,13.7,2,"A",5.38
"29/07","M",37,1,5.7,4,"B",4.785
"29/07","M",34,8,2.7,2,"A",3.71
"29/07","F",41,1,19.8,3,"A",3.08
"29/07","F",52,4,22.6,3,"A",3.31
"29/07","M",27,9,0.7,2,"B",7.93
"29/07","M",28,6,1,2,"A",5.87
"29/07","F",45,0,21,3,"A",3.73
"30/07","M",46,10,8.5,4,"B",5.535
"30/07","M",52,8,7.4,4,"A",3.87
"30/07","M",35,1,20.9,2,"A",3.46
"30/07","M",50,4,22.2,4,"A",4.42
"30/07","F",30,5,11.8,1,"A",3.75
"30/07","M",26,7,11.8,2,"A",4.31
"30/07","F",52,8,4.4,3,"A",3.73
"30/07","M",20,8,6.3,2,"A",7.39
"30/07","F",33,1,8.4,1,"A",3.67
"30/07","M",35,2,16.6,2,"B",5.91
"30/07","M",33,0,3.4,2,"A",3.96
"30/07","M",43,2,11.4,4,"B",4.545
"30/07","F",46,9,20,3,"A",2.62
"30/07","F",52,0,6.4,3,"A",1.55
"30/07","F",48,2,18.6,3,"A",5.07
"30/07","M",21,2,4.5,2,"B",5.72
"30/07","F",25,1,9.4,1,"A",4.81
"30/07","F",42,6,23.8,3,"A",1.51
"30/07","M",50,5,3.5,4,"B",4.975
"30/07","M",40,7,4.1,4,"A",4.21
"30/07","F",28,3,3.2,1,"A",5.22
"30/07","M",51,10,17.1,4,"A",4.07
"30/07","M",25,3,21.9,2,"A",5.33
"30/07","M",36,5,10,4,"A",4.03
"30/07","M",18,1,18.8,2,"A",6.98
"30/07","M",31,7,3.7,2,"A",5.11
"30/07","F",34,2,0.3,1,"B",4.76
"30/07","M",23,5,2,2,"A",6.87
"30/07","F",41,8,12.5,3,"A",3.99
"30/07","M",29,3,1.6,2,"A",3.36
"30/07","F",27,7,19.5,1,"A",3.13
"30/07","M",31,8,1.9,2,"B",5.62
"31/07","M",51,3,3.7,4,"B",2.865
"31/07","F",55,7,1.6,3,"B",3.33
"31/07","M",45,10,10.5,4,"A",4.31
"31/07","F",55,6,18.1,3,"A",5.09
"31/07","M",38,9,0.3,4,"A",5.34
"31/07","F",34,2,9.8,1,"A",4.08
"31/07","F",54,2,9.9,3,"A",3.9
"31/07","M",23,5,23.5,2,"A",4.94
"31/07","F",20,5,5.3,1,"A",5.92
"31/07","M",19,8,17.7,2,"A",6.91
"31/07","M",41,0,19.8,4,"A",3.47
"31/07","F",44,8,22.8,3,"A",2.22
"31/07","M",48,8,2.4,4,"A",3.29
"31/07","F",23,3,16.6,1,"A",6.91
"31/07","M",24,7,6.8,2,"B",5.83
"31/07","M",55,3,19.2,4,"B",4.215
"31/07","F",33,3,20,1,"B",5.54
"31/07","M",25,7,16.3,2,"A",5.41
"31/07","M",36,4,10,4,"B",2.165
"31/07","F",38,9,8.3,3,"A",5.41
"31/07","F",30,5,7.1,1,"A",4.24
"31/07","F",55,5,19.7,3,"A",2.46
"31/07","F",38,8,12,3,"A",4.06
"31/07","M",23,4,11.9,2,"B",7.61
"31/07","M",34,2,8.7,2,"B",3.73
"31/07","M",41,2,20.4,4,"B",1.525
"31/07","F",26,9,7.5,1,"A",6.03
"31/07","F",23,3,5.1,1,"A",5.82
"31/07","M",47,8,14.1,4,"B",4.135
"31/07","M",42,1,20.2,4,"A",3.35
"31/07","M",28,2,3,2,"A",6.29
"31/07","M",25,2,9.1,2,"A",2.67
"31/07","M",28,4,16.1,2,"A",3.79
